feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_distance_deviation,3.950051,71,1912.97,-483.29,25,5242.02,-713.04,0.52,"{""0"": 0.45, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_slope_deviation,3.863032,52,1769.23,-456.99,24,6176.93,-966.05,0.5,"{""0"": 0.55, ""1"": 0.4, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,3.844445,62,2488.74,-646.36,22,5178.44,-900.74,0.5455,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,3.841767,21,835.93,-216.59,7,1991.03,-182.78,0.5714,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,3.782581,22,1873.21,-494.22,4,1870.4,-345.61,0.75,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_no_side_flag,3.782136,74,3015.8,-796.38,24,6216.09,-953.36,0.5417,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_no_side_flag,3.778775,28,2337.21,-617.51,7,4033.05,-812.13,0.7143,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_no_side_flag,3.724711,109,3516.5,-943.1,43,3486.28,-1306.0,0.4186,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,3.675734,37,1205.31,-326.91,9,3470.55,-194.93,0.6667,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.55}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_slope_deviation,3.668379,31,1671.13,-454.55,10,3363.67,-477.4,0.5,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
